Java Developer;Java application development course;144
Database Administrator;Database administration and SQL course;108
Web Developer;Frontend and backend web development;180
Cybersecurity Specialist;Information security fundamentals;120
System Administrator;Network and system administration;96
Data Analyst;Data analysis and visualization;132
Software Tester;Software testing fundamentals;72
UI UX Designer;User interface and UX design;90
Project Manager IT;IT project management basics;80
Information Systems Specialist;Development and support of information systems;160
